Respondent_ID,Gender,Age_Group,Education,Experience,Organization_Size,IT_Subsector,Role_Level,GHRM1,GHRM2,GHRM3,GHRM4,GHRM5,GHRM6,GHRM7,GHRM8,GHRM9,GHRM10,GHRM11,GHRM12,GHRM13,GHRM14,GHRM15,GHRM16,GHRM17,GHRM18,EGB1,EGB2,EGB3,EGB4,EGB5,EGB6,EGB7,EGB8,EGB9,EGB10,EGB11,EGB12,GOC1,GOC2,GOC3,GOC4,GOC5,GOC6,GOC7,GOC8,EK1,EK2,EK3,EK4,EK5,EK6,SO1,SO2,SO3,SO4,SO5,SO6,SO7,SO8,SO9,SO10
R0011,Male,31-35,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,4,3,3,3,3,3,2,3,3,3
R0012,Female,41-45,Bachelor's,11-15 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,2,1,3,3,2,2,2,2,4,3,2,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,2,2,2,2,2,2,2,1,2,2
R0013,Female,26-30,Master's,6-10 yrs,Medium (500-2000),AI/ML Firms,Entry-level,4,3,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,4,2,4,3,3,4,3,3,4,4,4,3,3,4,5,4,4,5,5,4,4,4,4,3,4,4,5,2,2,3,3,3,2,3,3,2,2
R0014,Male,31-35,Master's,<2 yrs,Large (>2000),Digital Enterprises,Senior/Managerial,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,4,4,4,5,5,5,5,5,4,5,4,4,3,4,3,3,4,4,4
R0015,Male,21-25,Bachelor's,2-5 yrs,Large (>2000),IT Services/ITES,Mid-level,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,5,5,4,3,3,3,2,3,2,3,2,5,4,4,3,4,3,4,4,3,3,3,4,5,5,5,5,4,4,4,4,3,3,4,3,4,4,4,4
R0016,Male,36-40,Master's,2-5 yrs,Small (<500),Digital Enterprises,Mid-level,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,3,3,2,4,2,1,2,3,3,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,1,1,2,2
R0017,Male,41-45,Master's,2-5 yrs,Medium (500-2000),Software Products,Mid-level,3,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,3,4,3,4,4,4,3,2,2,3,2,2,2,3,2,5,5,5,5,5,5,2,3,4,3,4,4,3,3,4,3
R0018,Male,36-40,Master's,>15 yrs,Small (<500),IT Services/ITES,Mid-level,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,3,2,2,5,5,4,5,5,4,5,4,4,5,5,5,1,1,1,1,1,1,1,1,2,1,2,3,1,3,3,3,2,3,4,3,3,3,3,4
R0019,Male,36-40,Master's,<2 yrs,Medium (500-2000),IT Services/ITES,Mid-level,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5
R0020,Female,21-25,Bachelor's,2-5 yrs,Large (>2000),Software Products,Entry-level,3,3,4,4,3,3,3,4,3,3,2,3,2,3,3,4,3,4,3,2,1,4,3,3,3,4,2,3,3,2,5,5,5,5,5,5,5,5,3,3,3,3,4,5,5,5,5,4,4,5,4,5,5,5
R0021,Male,46+,Bachelor's,6-10 yrs,Small (<500),Software Products,Mid-level,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,5,5,5,5,4,5,5,4,3,5,4,4,4,5,3,4
R0022,Male,26-30,Bachelor's,<2 yrs,Large (>2000),Software Products,Entry-level,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,3,5,5,5,4,5,5,4,5,5,4,5,4,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4
R0023,Male,31-35,Bachelor's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,3,4,4,4,5,4,4,4,4,3,2,3,4,4,5,5,5,5,5,5,5,5,5,4
R0024,Female,26-30,Master's,2-5 yrs,Large (>2000),Digital Enterprises,Leadership,3,3,3,3,3,3,4,3,3,3,4,5,3,3,3,3,3,3,2,3,1,1,2,2,1,2,2,2,3,2,4,4,3,4,4,4,3,3,1,2,1,1,2,1,3,3,2,3,2,3,4,3,2,3
R0025,Male,36-40,Bachelor's,11-15 yrs,Medium (500-2000),Software Products,Senior/Managerial,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,4,3,3,3,3,3,4,3,3,4,4,5,3,5,5,4,4,3,3
R0026,Female,26-30,Bachelor's,2-5 yrs,Medium (500-2000),IT Services/ITES,Entry-level,2,2,3,3,2,4,3,3,3,3,2,3,3,3,3,4,3,4,2,3,2,3,4,2,2,2,2,2,3,3,2,3,1,2,1,1,3,3,1,1,1,1,2,2,3,3,5,4,4,3,4,3,3,3
R0027,Female,26-30,Bachelor's,6-10 yrs,Medium (500-2000),Software Products,Senior/Managerial,4,4,4,5,3,4,5,4,4,4,5,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,3,4
R0028,Female,21-25,Master's,6-10 yrs,Small (<500),IT Services/ITES,Mid-level,4,4,4,4,4,4,4,3,4,4,3,4,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4
R0029,Female,31-35,Bachelor's,2-5 yrs,Small (<500),Software Products,Mid-level,5,4,4,5,4,3,4,3,4,5,5,4,3,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,2,2,3,2,2,2,3,1,3,3,3,3,3,2,1,3,3,3,3,2,2,3,2,3
R0030,Female,26-30,Bachelor's,2-5 yrs,Small (<500),Software Products,Mid-level,5,4,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,4,4,3,5,4,4,4,4,5,4,4,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,4,4,4,4,5,5,5
R0031,Male,41-45,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Leadership,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5
R0032,Female,36-40,Master's,11-15 yrs,Small (<500),Software Products,Entry-level,3,3,2,2,3,4,4,2,3,2,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,3,4,3,4,4,4,3,3,3,3,3,2,4,3,3,3,3,4,4,3,4,3
R0033,Male,46+,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,2,3,4,3,2,2,2,3,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,4,4,3,4,3,3,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,4
R0034,Male,26-30,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,3,2,2,2,2,2,2,2,3,2,2,1,3,2,2,1,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,4,2,3,5,2,2,4,3,3,3,4,4,2,3,3,2,3,3,2,3,4,2,2
R0035,Female,31-35,Bachelor's,6-10 yrs,Small (<500),Digital Enterprises,Mid-level,4,4,5,4,5,4,5,5,4,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
R0036,Male,31-35,Bachelor's,6-10 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,3,4,3,3,3,4,4,4,2,2,3,2,2,1,2,2,3,4,3,3,4,3,4,4,4,3,4,4,4,4,5,4
R0037,Male,41-45,Bachelor's,11-15 yrs,Small (<500),IT Services/ITES,Mid-level,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,4,2,3,2,2,3,3,2,2,3,2,3,3,4,4,5,4,3,4,3,4,5,5,5,5,5,5,3,3,3,4,4,4,4,3,4,3
R0038,Male,26-30,Master's,<2 yrs,Small (<500),IT Services/ITES,Senior/Managerial,3,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,3,1,2,1,3,2,1,3,2,2,1,2,2,2,3,3,3,4,2,3,3,2,4,4,4,3,4,4,3,2,3,3,2,3,2,4,3,3
R0039,Male,26-30,Master's,6-10 yrs,Small (<500),IT Services/ITES,Senior/Managerial,2,2,2,2,2,2,3,1,3,2,2,2,2,2,3,3,2,3,1,2,1,1,2,2,2,2,2,1,1,1,5,5,5,5,5,5,5,5,4,4,4,4,3,5,3,3,3,2,3,3,2,2,2,2
R0040,Female,26-30,Master's,>15 yrs,Small (<500),IT Services/ITES,Mid-level,4,5,5,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,2,2,1,2,2,2,2,2,3,3,1,2,3,4,4,3,4,4,4,5,4,4,2,3,3,3,5,5,3,4,5,4,4,5,4,5
R0041,Female,31-35,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Entry-level,4,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5
R0042,Male,41-45,Bachelor's,6-10 yrs,Small (<500),IT Services/ITES,Senior/Managerial,5,4,5,4,5,5,4,4,4,2,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,2,2,3,3,4,3,3,3,4,3,5,5,5,5,5,5,5,4,5,5
R0043,Male,26-30,Master's,11-15 yrs,Medium (500-2000),AI/ML Firms,Mid-level,3,3,1,2,2,3,3,2,1,2,2,2,3,3,2,2,2,2,5,5,5,5,4,4,5,4,4,5,5,5,4,5,4,4,4,4,5,3,2,3,2,2,1,2,5,5,5,4,4,4,5,5,4,5
R0044,Male,31-35,Master's,2-5 yrs,Large (>2000),IT Services/ITES,Leadership,4,4,5,3,4,2,4,4,4,4,5,4,4,4,3,4,3,5,2,1,2,2,2,2,1,1,4,1,2,2,4,4,4,4,4,5,4,5,5,5,4,5,5,5,2,2,3,3,2,2,2,2,3,2
R0045,Female,26-30,Master's,6-10 yrs,Large (>2000),Software Products,Mid-level,4,4,3,4,4,4,4,3,3,4,3,4,4,3,3,4,4,3,5,5,5,4,4,4,4,5,5,5,4,5,2,3,2,3,3,3,2,3,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4
R0046,Male,21-25,Master's,2-5 yrs,Medium (500-2000),IT Services/ITES,Mid-level,4,4,5,5,4,5,3,4,4,5,4,4,4,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,4,5,4,4,4,4,5,5,5,4,4,4,2,5,4,4,5,3,3
R0047,Female,46+,Master's,2-5 yrs,Large (>2000),AI/ML Firms,Mid-level,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0048,Female,36-40,Bachelor's,<2 yrs,Large (>2000),AI/ML Firms,Mid-level,3,4,4,4,4,3,4,4,4,4,4,4,4,2,5,5,4,5,4,4,4,4,3,5,4,3,3,5,4,4,4,3,3,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0049,Male,46+,Bachelor's,11-15 yrs,Medium (500-2000),Software Products,Leadership,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,4,3,5,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,2,3,3,3,3,4,4,3,3,3,4,3,4,4,2,3
R0050,Male,31-35,Bachelor's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,4,4,4,4,4,3,3,4,4,4,3,3,5,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,5,4,5,3,4,4,3,4,3,4,5,4,5,4,5,4,3,1,2,2,3,1,1,1,2,1
R0051,Male,36-40,Bachelor's,>15 yrs,Small (<500),Digital Enterprises,Senior/Managerial,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,4,5,4,2,2,2,3,2,3,2,1,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,4,3,4,3,3,4,3,2,2,3,3
R0052,Female,31-35,Bachelor's,2-5 yrs,Medium (500-2000),Software Products,Mid-level,5,5,5,4,5,5,4,5,4,4,4,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5
R0053,Female,31-35,Bachelor's,2-5 yrs,Medium (500-2000),IT Services/ITES,Entry-level,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,4,3,2,3,3,3,3,3,3,3,1,2,2,3,3,4,2,3,2,2,3,3,2,2
R0054,Female,21-25,Doctorate,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,3,3,2,2,3,3,3,2,3,4,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,1,1,2,2,2,1,1,1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
R0055,Male,21-25,Bachelor's,<2 yrs,Large (>2000),AI/ML Firms,Mid-level,3,3,3,3,3,1,3,4,3,3,3,2,3,2,2,2,1,2,4,5,4,4,4,4,5,5,4,5,4,5,2,1,2,1,1,1,1,1,4,3,3,4,4,5,5,5,5,5,5,5,5,5,4,5
R0056,Female,26-30,Doctorate,6-10 yrs,Small (<500),IT Services/ITES,Senior/Managerial,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,2,2,3,1,1,3,1,3,2,2,3,3,2,2,2,4,4,3,3,5,4,4,5,3,4,4,2,3,4,3,3,3,4,3,3,4,3,4,3
R0057,Male,36-40,Master's,2-5 yrs,Large (>2000),AI/ML Firms,Mid-level,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,4,3,2,2,2,1,1,2,2,2,2,2,2,2,3,3,4,3,3,3,3,4,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4
R0058,Male,36-40,Bachelor's,2-5 yrs,Large (>2000),Software Products,Leadership,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,4,4,4,4,4,4,3,4,3
R0059,Male,31-35,Bachelor's,6-10 yrs,Large (>2000),Software Products,Mid-level,1,3,2,2,2,1,3,1,1,2,2,2,2,2,2,3,2,2,1,3,3,2,3,3,4,3,3,4,3,3,5,5,5,4,4,4,5,5,1,1,1,1,1,1,4,4,4,5,4,5,5,5,5,5
R0060,Male,26-30,Bachelor's,6-10 yrs,Large (>2000),Software Products,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,5,5,4,4,4,4,5,3,4,4,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5
R0061,Male,36-40,Bachelor's,2-5 yrs,Medium (500-2000),Software Products,Entry-level,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,3,4,4,3,3,4,4,4,3,3,4,3,3,3,2,3,3
R0062,Male,21-25,Bachelor's,2-5 yrs,Medium (500-2000),Digital Enterprises,Senior/Managerial,3,3,3,3,2,2,2,2,2,3,4,3,2,3,2,3,3,3,4,4,4,5,4,4,3,4,4,5,3,4,2,2,2,2,2,1,2,1,5,3,5,3,4,3,4,4,3,4,4,4,3,4,3,4
R0063,Female,41-45,Master's,2-5 yrs,Large (>2000),Software Products,Mid-level,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,3,4,3,3,2,4,3,3,3,3,4,3,3,5,5,4,4,5,5,4,5,3,2,2,2,2,3,3,2,4,3,4,3,3,3,4,4
R0064,Female,26-30,Bachelor's,2-5 yrs,Small (<500),Software Products,Mid-level,5,5,4,4,5,4,4,5,5,4,5,4,4,4,5,4,4,5,3,3,3,3,3,4,3,3,2,3,2,3,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
R0065,Female,36-40,Master's,>15 yrs,Large (>2000),Digital Enterprises,Senior/Managerial,5,4,4,4,5,5,5,4,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5
R0066,Female,26-30,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0067,Female,26-30,Master's,2-5 yrs,Large (>2000),IT Services/ITES,Mid-level,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,5,4,3,5,3,4,4,4,4,4,5,4,4,5,3,4,5,5,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4
R0068,Female,31-35,Doctorate,2-5 yrs,Small (<500),Software Products,Senior/Managerial,2,2,2,2,2,3,3,2,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,4,3,4,3,3,3,4,3,3,4,3,3,3,2,2,4,3,3,3,3,3,3,2,3,3,3,3,3,3
R0069,Male,31-35,Bachelor's,2-5 yrs,Large (>2000),Digital Enterprises,Mid-level,5,4,4,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4,3,5,4,4,5,5,5,4,5,5,5
R0070,Female,21-25,Bachelor's,2-5 yrs,Small (<500),IT Services/ITES,Entry-level,3,3,4,3,3,3,4,2,3,3,2,3,3,4,3,3,3,3,2,3,2,3,1,3,3,1,3,2,1,2,5,4,5,5,5,4,5,4,1,1,1,1,1,1,4,5,5,5,4,4,4,5,5,5
R0071,Male,31-35,Doctorate,>15 yrs,Large (>2000),Software Products,Senior/Managerial,1,3,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,3,2,2,3,1,2,3,2,2,3,5,5,5,4,5,4,5,5,3,2,3,4,3,4,3,4,4,4,2,3,3,3,3,4
R0072,Male,21-25,Doctorate,2-5 yrs,Medium (500-2000),IT Services/ITES,Leadership,2,1,1,1,2,2,2,2,2,2,2,1,2,2,3,1,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,1,3,3,3,2,3,2,5,4,5,5,4,5,1,1,1,2,1,1,1,1,1,2
R0073,Female,41-45,Master's,11-15 yrs,Large (>2000),IT Services/ITES,Entry-level,2,1,3,2,1,2,2,2,1,2,2,2,3,2,2,2,1,2,3,3,4,3,3,3,3,3,3,3,3,4,2,2,3,4,2,3,3,3,1,1,1,2,1,3,4,3,3,3,2,3,3,2,2,3
R0074,Male,31-35,Master's,11-15 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,4,5,4,3,4,5,4,4,4,4,5,3,5,4,5,5,4,4,5,4,5,4,5,4,5,3,4,4,4,5,3,4,3,4,3,4,4,3,3,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5
R0075,Male,31-35,Bachelor's,11-15 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,4,4,5,3,2,3,3,3,2,4,3,2,3,3,3,4,5,5,4,5,5,5,5,1,3,2,3,3,2,4,3,3,3,3,3,4,3,3,4
R0076,Male,31-35,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,5,5,4,4,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,3,3,3,3,3,4,3,3,3,2,3,3
R0077,Female,36-40,Bachelor's,2-5 yrs,Medium (500-2000),IT Services/ITES,Mid-level,3,3,2,3,3,4,2,3,4,3,2,2,3,3,4,3,3,3,3,4,4,4,5,5,4,4,4,4,5,4,3,2,2,3,3,2,3,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5
R0078,Female,21-25,Master's,11-15 yrs,Medium (500-2000),Software Products,Mid-level,4,3,3,4,4,3,4,4,3,3,3,4,3,4,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,2,3,4,3,2,1,1,1,1,1,3,3,3,3,3,3,4,2,3,3
R0079,Male,36-40,Master's,11-15 yrs,Large (>2000),AI/ML Firms,Mid-level,5,4,5,5,4,5,5,4,5,4,4,5,4,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5
R0080,Male,41-45,Bachelor's,6-10 yrs,Large (>2000),Software Products,Mid-level,3,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,3,4,5,4,4,5,5,1,2,2,2,1,2,2,1,1,2
R0081,Female,31-35,Master's,<2 yrs,Small (<500),AI/ML Firms,Senior/Managerial,5,4,4,5,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,4,2,4,3,3,4,4,4,3,3,3,5,5,5,5,5,5,5,4,4,3,2,3,3,3,5,5,5,4,5,5,5,5,5,5
R0082,Male,21-25,Master's,2-5 yrs,Medium (500-2000),Software Products,Mid-level,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,2,4,5,4,4,3,4
R0083,Male,26-30,Bachelor's,<2 yrs,Medium (500-2000),IT Services/ITES,Mid-level,3,3,3,2,3,4,3,4,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,2,4,2,3,3,3,3,3,2,2,1,3,2,2,2,2,5,5,4,5,4,5,4,5,4,5
R0084,Male,41-45,Master's,2-5 yrs,Small (<500),IT Services/ITES,Mid-level,3,2,2,4,3,2,3,3,1,3,2,2,4,3,3,3,3,3,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,3,2,2,3,3,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4
R0085,Female,21-25,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,4,3,4,4,5,5,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,2,3,4,3,4
R0086,Male,21-25,Bachelor's,11-15 yrs,Medium (500-2000),AI/ML Firms,Senior/Managerial,5,3,4,4,4,4,5,3,5,4,4,5,5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,5,5,5,5,4,4,5,5,5,5
